city,lat,lon,country,population,country_norm,city_norm
Nossombougou,13.0967,-7.9342,Mali,18306.0,mali,nossombougou
Nehbandān,31.5411,60.0397,Iran,18304.0,iran,nehbandān
Mangualde,40.6058,-7.7658,Portugal,18303.0,portugal,mangualde
Fairmont,39.4768,-80.1491,United States,18303.0,united states,fairmont
Belém de São Francisco,-8.7578,-38.9639,Brazil,18301.0,brazil,belém de são francisco
Niles,41.1879,-80.7531,United States,18301.0,united states,niles
Hadleigh,51.5535,0.6095,United Kingdom,18300.0,united kingdom,hadleigh
Do’stlik Shahri,40.5247,68.0358,Uzbekistan,18300.0,uzbekistan,do’stlik shahri
South Orange Village,40.7491,-74.2602,United States,18299.0,united states,south orange village
Sint-Genesius-Rode,50.75,4.35,Belgium,18296.0,belgium,sint-genesius-rode
Chennevières-sur-Marne,48.7983,2.5339,France,18295.0,france,chennevières-sur-marne
Ommen,52.5167,6.4167,Netherlands,18295.0,netherlands,ommen
Volochysk,49.5333,26.1667,Ukraine,18295.0,ukraine,volochysk
Colonia,40.5926,-74.3148,United States,18294.0,united states,colonia
Rutigliano,40.9969,17.0069,Italy,18293.0,italy,rutigliano
Aveiro,-3.6058,-55.3319,Brazil,18290.0,brazil,aveiro
Bischheim,48.6144,7.7528,France,18289.0,france,bischheim
Taung,-27.5625,24.7481,South Africa,18289.0,south africa,taung
Lake Ronkonkoma,40.8297,-73.1128,United States,18289.0,united states,lake ronkonkoma
Sakouéba,13.3117,-6.2797,Mali,18282.0,mali,sakouéba
Lenoir,35.9094,-81.5249,United States,18282.0,united states,lenoir
Navraftor,37.7333,68.7667,Tajikistan,18281.0,tajikistan,navraftor
East St. Louis,38.6155,-90.1304,United States,18278.0,united states,east st. louis
Fomboni,-12.28,43.7425,Comoros,18277.0,comoros,fomboni
Santa Fe,16.1592,120.9378,Philippines,18276.0,philippines,santa fe
Paraibano,-6.4328,-43.9839,Brazil,18274.0,brazil,paraibano
Rāmpur,26.4424,89.8038,India,18274.0,india,rāmpur
Syosset,40.8157,-73.502,United States,18274.0,united states,syosset
Mannara,8.5614,77.1263,India,18273.0,india,mannara
Kristiansund,63.1105,7.7279,Norway,18273.0,norway,kristiansund
Hampton,40.5844,-79.9534,United States,18273.0,united states,hampton
Rosendaël,51.0413,2.4037,France,18272.0,france,rosendaël
Bni Bouayach,35.1051,-3.8403,Morocco,18271.0,morocco,bni bouayach
Parchim,53.4167,11.8333,Germany,18270.0,germany,parchim
Karcag,47.3167,20.9333,Hungary,18270.0,hungary,karcag
Kasba Maker,25.9591,85.0316,India,18267.0,india,kasba maker
Jussara,-15.865,-50.8678,Brazil,18266.0,brazil,jussara
Paraibuna,-23.3861,-45.6622,Brazil,18263.0,brazil,paraibuna
Lake Shore,39.103,-76.4876,United States,18263.0,united states,lake shore
Yupiltepeque,14.2,-89.7833,Guatemala,18262.0,guatemala,yupiltepeque
Siloe,-29.9836,27.2792,Lesotho,18261.0,lesotho,siloe
Shenandoah,30.4019,-91.002,United States,18259.0,united states,shenandoah
Sahel,34.9667,-4.55,Morocco,18258.0,morocco,sahel
Luz,-19.8008,-45.6858,Brazil,18257.0,brazil,luz
Ban Mai,14.9658,102.0205,Thailand,18255.0,thailand,ban mai
Monte Cristo,-31.3431,-63.9444,Argentina,18254.0,argentina,monte cristo
Regensdorf,47.4383,8.4744,Switzerland,18253.0,switzerland,regensdorf
Fanipal’,53.75,27.3333,Belarus,18252.0,belarus,fanipal’
Yoichi,43.2,140.7833,Japan,18252.0,japan,yoichi
San Carlos Park,26.4765,-81.8193,United States,18252.0,united states,san carlos park
Ansfelden,48.2083,14.2889,Austria,18251.0,austria,ansfelden
Mūlanūr,10.7943,77.7115,India,18251.0,india,mūlanūr
Shuangluan,40.9611,117.7962,China,18250.0,china,shuangluan
Asakapalle,17.7364,83.3,India,18247.0,india,asakapalle
Mathurāpur,25.5112,86.4557,India,18247.0,india,mathurāpur
Somerset,41.7404,-71.1612,United States,18246.0,united states,somerset
Shaw,53.5783,-2.0951,United Kingdom,18245.0,united kingdom,shaw
Pisz,53.6167,21.8,Poland,18245.0,poland,pisz
Johnstown,40.326,-78.9194,United States,18245.0,united states,johnstown
Püttlingen,49.2833,6.8833,Germany,18243.0,germany,püttlingen
Nārāyankher,18.0333,77.7833,India,18243.0,india,nārāyankher
Plast,54.3833,60.8167,Russia,18243.0,russia,plast
Sycamore,41.9957,-88.6821,United States,18243.0,united states,sycamore
Monforte de Lemos,42.5164,-7.5161,Spain,18242.0,spain,monforte de lemos
Trenton,42.1394,-83.1929,United States,18242.0,united states,trenton
Sivandipuram,8.7811,77.3428,India,18241.0,india,sivandipuram
Santa Iria da Azóia,38.8464,-9.0881,Portugal,18240.0,portugal,santa iria da azóia
Bönen,51.5986,7.7592,Germany,18239.0,germany,bönen
Carrigaline,51.8117,-8.3986,Ireland,18239.0,ireland,carrigaline
Had Zraqtane,31.45,-7.4,Morocco,18239.0,morocco,had zraqtane
Comodoro,-13.6593,-59.7941,Brazil,18238.0,brazil,comodoro
Kānp,25.8337,86.7402,India,18237.0,india,kānp
Härnösand,62.6323,17.9379,Sweden,18236.0,sweden,härnösand
Calera de Tango,-33.6302,-70.7616,Chile,18235.0,chile,calera de tango
Priozërsk,61.05,30.1333,Russia,18235.0,russia,priozërsk
Fulwood,53.365,-1.544,United Kingdom,18233.0,united kingdom,fulwood
Franklin Park,41.9361,-87.8794,United States,18233.0,united states,franklin park
Antanambao,-15.1669,50.3612,Madagascar,18232.0,madagascar,antanambao
Málaga,6.7833,-72.6667,Colombia,18230.0,colombia,málaga
Thala,35.5667,8.6667,Tunisia,18230.0,tunisia,thala
Eski-Nookat,40.2713,72.6131,Kyrgyzstan,18228.0,kyrgyzstan,eski-nookat
Mount Washington,38.043,-85.5551,United States,18228.0,united states,mount washington
Kottukal,8.8833,76.9,India,18227.0,india,kottukal
Surovikino,48.6,42.85,Russia,18227.0,russia,surovikino
Júlio de Castilhos,-29.2269,-53.6819,Brazil,18226.0,brazil,júlio de castilhos
Manga,-14.7558,-43.9322,Brazil,18226.0,brazil,manga
Budrio,44.5374,11.5344,Italy,18226.0,italy,budrio
Concord,42.462,-71.3639,United States,18226.0,united states,concord
Galaat el Andeless,37.0625,10.1183,Tunisia,18225.0,tunisia,galaat el andeless
Dolynska,48.1111,32.7647,Ukraine,18225.0,ukraine,dolynska
Mahiari,22.59,88.24,India,18223.0,india,mahiari
Sveta Nedjelja,45.8,15.7833,Croatia,18221.0,croatia,sveta nedjelja
Baixa Grande,-11.96,-40.1678,Brazil,18220.0,brazil,baixa grande
Bronte,37.8,14.8333,Italy,18220.0,italy,bronte
Şemdinli,37.308,44.571,Turkey,18220.0,turkey,şemdinli
Pijijiapan,15.6833,-93.2167,Mexico,18219.0,mexico,pijijiapan
Zielonka,52.3008,21.1586,Poland,18219.0,poland,zielonka
Banī Ḩasan ash Shurūq,27.9314,30.8753,Egypt,18218.0,egypt,banī ḩasan ash shurūq
Ţāqah,17.0483,54.3906,Oman,18218.0,oman,ţāqah
Shorewood,41.5169,-88.2146,United States,18218.0,united states,shorewood
Nazaré Paulista,-23.1808,-46.395,Brazil,18217.0,brazil,nazaré paulista
Farias Brito,-6.9308,-39.5658,Brazil,18217.0,brazil,farias brito
Bettioua,35.8,-0.2667,Algeria,18215.0,algeria,bettioua
Taku,33.2886,130.1103,Japan,18215.0,japan,taku
Gameleira,-8.5844,-35.3867,Brazil,18214.0,brazil,gameleira
Sipacate,13.9333,-91.15,Guatemala,18212.0,guatemala,sipacate
Stillorgan,53.2888,-6.1958,Ireland,18212.0,ireland,stillorgan
Tirunāgeswaram,10.9646,79.4293,India,18212.0,india,tirunāgeswaram
Sāhna,30.4293,75.3813,India,18212.0,india,sāhna
Gaocun,39.6197,116.8861,China,18210.0,china,gaocun
Filadelfia,-22.34,-60.03,Paraguay,18210.0,paraguay,filadelfia
Colonial Heights,37.265,-77.3969,United States,18210.0,united states,colonial heights
Sikhio,14.9,101.7167,Thailand,18209.0,thailand,sikhio
Nigrán,42.1419,-8.8056,Spain,18208.0,spain,nigrán
North Babylon,40.7314,-73.3248,United States,18208.0,united states,north babylon
Serrita,-7.9328,-39.2958,Brazil,18207.0,brazil,serrita
Blindio,11.6183,-6.3428,Mali,18207.0,mali,blindio
Bogotol,56.2,89.5167,Russia,18206.0,russia,bogotol
Amaraji,-8.3758,-35.4522,Brazil,18205.0,brazil,amaraji
Kudatini,15.15,76.92,India,18205.0,india,kudatini
Dagana,16.4833,-15.6,Senegal,18205.0,senegal,dagana
Budhni,22.7825,77.682,India,18204.0,india,budhni
Kishi,35.3333,139.1333,Japan,18204.0,japan,kishi
Shaying,25.9667,105.3667,China,18203.0,china,shaying
